OBJECTID;weight;node_id;nps_dn;p_max
522;11200000.000000000000000;GS-2004;400;70
523;160000.000000000000000;GS-1592;100;16
524;360000.000000000000000;GS-1600;150;16
525;360000.000000000000000;GS-2005;150;16
526;96800000.000000000000000;GS-3493;1100;80
527;11200000.000000000000000;GS-1960;400;70
528;2800000.000000000000000;GS-1842;200;70
529;640000.000000000000000;GS-2002;200;16
530;6250000.000000000000000;GS-4011;250;100
531;1600000.000000000000000;GS-1342;200;40
532;1600000.000000000000000;GS-1340;200;40
533;6250000.000000000000000;GS-6549;500;25
534;640000.000000000000000;GS-2287;200;16
535;360000.000000000000000;GS-2006;150;16
536;360000.000000000000000;GS-2009;150;16
537;360000.000000000000000;GS-2016;150;16
538;2800000.000000000000000;GS-1738;200;70
539;4500000.000000000000000;GS-2897;300;50
540;16875000.000000000000000;GS-3635;500;68
541;57600000.000000000000000;GS-3266;800;90
542;2700000.000000000000000;GS-4327;200;68
543;2700000.000000000000000;GS-4624;200;68
544;2700000.000000000000000;GS-4623;200;68
545;1518750.000000000000000;GS-4343;150;68
546;64000000.000000000000000;GS-0086;800;100
547;64000000.000000000000000;GS-0089;800;100
548;20000000.000000000000000;GS-0597;500;80
549;90000000.000000000000000;GS-3977;1000;90
550;800000.000000000000000;GS-4602;100;80
551;17010000.000000000000000;GS-4112;450;84
552;675000.000000000000000;GS-4410;100;68
553;675000.000000000000000;GS-4606;100;68
554;5760000.000000000000000;GS-4715;300;64
555;1093750.000000000000000;GS-4658;125;70
556;4375000.000000000000000;GS-4073;250;70
557;1093750.000000000000000;GS-4344;125;70
558;675000.000000000000000;GS-4563;100;68
559;13440000.000000000000000;GS-4097;400;84
560;16875000.000000000000000;GS-4558;500;68
561;1440000.000000000000000;GS-4617;150;64
562;64800000.000000000000000;GS-7230;900;80
563;20000000.000000000000000;GS-7254;500;80
564;40320000.000000000000000;GS-6614;800;63
565;10800000.000000000000000;GS-7288;400;68
566;22680000.000000000000000;GS-6711;600;63
567;51030000.000000000000000;GS-6411;900;63
568;2720000.000000000000000;GS-4495;200;68
569;2700000.000000000000000;GS-4683;200;68
570;675000.000000000000000;GS-4406;100;68
571;33075000.000000000000000;GS-7198;700;68
572;6075000.000000000000000;GS-4399;300;68
573;2560000.000000000000000;GS-4597;200;64
574;2560000.000000000000000;GS-4678;200;64
575;6300000.000000000000000;GS-7219;300;70
576;6300000.000000000000000;GS-7263;300;70
577;160000.000000000000000;GS-4706;100;16
578;160000.000000000000000;GS-4707;100;16
579;6300000.000000000000000;GS-7260;300;70
580;2700000.000000000000000;GS-4497;200;68
581;6300000.000000000000000;GS-7262;300;70
582;1518750.000000000000000;GS-4650;150;68
583;2700000.000000000000000;GS-4572;200;68
584;562500.000000000000000;GS-4445;150;25
585;22680000.000000000000000;GS-6916;600;63
586;1518750.000000000000000;GS-4454;150;68
587;2500000.000000000000000;GS-7207;250;40
588;1518750.000000000000000;GS-4613;150;68
589;1518750.000000000000000;GS-4456;150;68
590;1518750.000000000000000;GS-4567;150;68
591;2700000.000000000000000;GS-4451;200;68
592;2700000.000000000000000;GS-4477;200;68
593;7560000.000000000000000;GS-6926;300;84
594;2700000.000000000000000;GS-4478;200;68
595;81000000.000000000000000;GS-0015;900;100
596;81000000.000000000000000;GS-0018;900;100
597;10800000.000000000000000;GS-1667;400;68
598;2700000.000000000000000;GS-2231;200;68
599;61370000.000000000000000;GS-3181;950;68
